Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CallCenter.AdapterUrl,AdapterUrl,CallCenter,,AdapterUrl,CTI Adapter URL,CTI Adapter URL,テキスト(2000),false,true,false,true,false,true
000000000000000AAA,CallCenter.ChannelAddressIdentifier,ChannelAddressIdentifier,CallCenter,,ChannelAddressIdentifier,Channel Address Identifier,Channel Address Identifier,テキスト(240),false,true,false,true,true,true
000000000000000AAA,CallCenter.ChannelDefinition,ChannelDefinitionId,CallCenter,,ChannelDefinition,会話チャネルのチャネル定義,会話チャネルのチャネル定義,参照関係(会話チャネル定義),false,true,false,true,true,true
000000000000000AAA,CallCenter.ConversationChannelType,ConversationChannelType,CallCenter,,ConversationChannelType,会話チャネル種別,会話チャネル種別,テキスト(100),false,true,false,true,true,true
000000000000000AAA,CallCenter.CreatedBy,CreatedById,CallCenter,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CallCenter.CreatedDate,CreatedDate,CallCenter,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CallCenter.CustomSettings,CustomSettings,CallCenter,,CustomSettings,Custom Settings,Custom Settings,テキスト(3000),false,true,false,true,false,true
000000000000000AAA,CallCenter.Id,Id,CallCenter,,Id,Call Center ID,Call Center ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CallCenter.InternalName,InternalName,CallCenter,,InternalName,Internal Name,Internal Name,テキスト(240),false,false,false,true,true,true
000000000000000AAA,CallCenter.LastModifiedBy,LastModifiedById,CallCenter,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CallCenter.LastModifiedDate,LastModifiedDate,CallCenter,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CallCenter.Name,Name,CallCenter,,Name,名前,名前,テキスト(255),false,false,true,true,true,true
000000000000000AAA,CallCenter.SystemModstamp,SystemModstamp,CallCenter,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,CallCenter.Version,Version,CallCenter,,Version,Version,Version,数値(15、3),false,true,false,true,false,true
